locationId,place.name,is_fch,is_local,rated_count,average_photonum,average_rating,category_l
8994430,다래함박스텍,0,1,4,1.5,4.75,1
9006795,호남마을,0,1,2,2.5,4.5,1
16811995,썸머타이,0,1,1,6.0,4.0,1
16725320,월래순교자관,0,1,3,3.6666666666666665,3.6666666666666665,1
14112965,진미평양냉면,0,0,7,1.2857142857142858,4.142857142857143,1
9270108,성수족발,0,0,20,0.5,3.75,1
9120786,동빙고,0,1,15,0.4666666666666667,4.266666666666667,1
12402413,아꼬떼뒤파르크,0,1,2,1.0,4.5,1
4074063,사리원,0,0,11,0.3636363636363637,4.2727272727272725,1
9294668,떡볶이나라,0,1,1,3.0,4.0,1
9217598,툇마루밥상,0,0,13,2.1538461538461537,4.230769230769232,1
4078328,고센 청담점,1,0,20,0.5,3.8,1
5122587,도셰프 논현점,0,1,11,0.7272727272727273,4.545454545454546,1
3972834,배스킨라빈스 가양홈플러스,1,1,3,0.0,3.6666666666666665,1
4075723,가양칼국수버섯매운탕,1,1,5,0.0,4.6,1
9345596,오복순대국,0,0,4,0.0,4.0,1
8921338,비스트로74,0,0,10,0.3,4.2,1
19097095,더 할랄 가이즈,0,0,2,0.5,4.0,1
2090976,오설록 티 하우스 인사동점,1,0,374,0.6256684491978609,4.283422459893049,1
4032551,대도식당 - 왕십리본점,0,1,101,0.7821782178217822,4.2871287128712865,1
4034133,차마시는뜰,0,0,11,0.5454545454545454,4.454545454545454,1
3922605,큰기와집,0,0,100,2.24,4.1,1
2236334,더 키친 살바토레 쿠오모,1,0,100,0.65,4.22,1
2476809,바토스 이태원점,1,0,840,0.2976190476190476,4.192857142857143,1
8971738,이조면옥,0,1,6,0.0,4.0,1
9177219,김스토리,0,1,2,0.0,4.0,1
10408251,교토마블,0,1,10,0.4,4.6,1
9340222,평양집,0,1,15,0.8666666666666667,3.466666666666667,1
4031235,삼각지 원 대구탕,0,1,15,0.6666666666666666,4.4,1
4030872,오발탄 송파본점,0,1,8,0.25,4.25,1
7618199,경천애인 2237,0,0,21,0.14285714285714285,4.238095238095238,1
9258798,태극당,0,1,40,0.85,3.775,1
9107367,딸부자불백,0,1,6,0.0,3.8333333333333335,1
7738692,눈나무집,0,0,22,0.18181818181818185,3.954545454545455,1
11778748,호텔수선화,0,1,5,1.4,3.8,1
4074165,소고산제일루,0,1,5,1.2,4.2,1
15632528,녁,0,1,3,4.0,4.0,1
4034616,원흥,0,1,8,0.0,3.5,1
9439226,큐스닭강정,0,1,6,1.0,4.0,1
15654467,칼리가리브루잉 - 익선동탭룸,0,0,3,0.6666666666666666,4.333333333333333,1
9070095,쌍다리돼지불백,0,1,10,0.6,3.8,1
4070667,동해도,0,1,9,0.4444444444444444,4.111111111111111,1
4033804,황소고집,0,1,20,0.3,4.2,1
2273348,안동 찜닭 명동 2호점,1,0,20,0.55,3.95,1
9450925,만보성,0,1,6,0.5,4.333333333333333,1
4129634,원조함흥냉면,1,1,2,0.5,4.5,1
5972643,한국관,0,1,2,0.0,4.0,1
8786818,갓덴스시,1,1,40,0.75,4.3,1
4034282,아따블르,0,0,9,2.0,4.0,1
4032601,오무라안,0,1,16,0.625,4.3125,1
1800094,가메골 손만두,0,0,79,0.5949367088607594,4.215189873417722,1
9245539,스타벅스 강남비젼타워점,1,1,5,0.8,3.8,1
9260477,타코벨,1,1,10,0.2,4.2,1
3911380,스타벅스 신세계 강남점,1,0,21,0.09523809523809523,3.809523809523809,1
9211872,더달달,0,1,3,1.0,4.333333333333333,1
9274868,스탠다드커피바,0,1,4,0.25,4.5,1
3911437,스타벅스 신촌 명물거리점,1,1,19,0.05263157894736842,4.0,1
3922438,아리랑,0,0,160,0.75,3.9,1
1485848,삼청동 수제비,0,0,140,0.8428571428571429,3.9428571428571435,1
4608689,옷살 서울대 입구역점,1,0,21,0.42857142857142855,4.047619047619048,1
20483591,누메로도스,0,1,1,3.0,5.0,1
10747760,봉평메밀면사무소,1,1,8,0.625,4.25,1
20116770,혼카츠,0,1,1,3.0,4.0,1
9009299,홍두깨칼국수마당,1,1,4,0.75,4.25,1
9382406,나인헤르츠,0,1,1,4.0,5.0,1
8971351,이정희떡볶이,0,1,7,0.42857142857142855,4.0,1
19448910,탕화쿵푸 마라탕 - 동대문점,1,1,1,0.0,4.0,1
15584937,블랑제 메종 북악,0,1,4,3.5,4.5,1
18378529,라라브레드 - 한남점,1,1,3,3.0,2.6666666666666665,1
9152642,자성당,0,1,1,5.0,4.0,1
7738720,순희네 빈대떡,0,1,17,0.35294117647058826,4.352941176470588,1
3627423,순희네 빈대떡,0,0,140,0.4214285714285714,4.0285714285714285,1
2103934,자하손만두 본점,0,0,21,1.0476190476190477,4.095238095238095,1
8884222,부빙,0,0,11,3.1818181818181817,4.727272727272728,1
14502135,송화산시도삭면,0,1,7,3.4285714285714284,4.428571428571429,1
18854359,옥수동 화덕피자,1,1,2,3.5,5.0,1
3571296,남산골 산채집,0,1,8,0.625,4.375,1
9009201,홍두깨손칼국수,0,1,10,2.2,4.0,1
9013700,고에몬,0,1,20,1.75,4.4,1
15614869,명쭈3 쭈꾸미전문점,0,1,1,1.0,4.0,1
15559346,리춘시장 - 건대지점,1,1,1,6.0,4.0,1
2248137,원조 원할매 닭한마리,1,0,198,0.5606060606060606,4.378787878787879,1
15051441,심플리타이,1,1,2,0.0,4.5,1
12533876,센터커피,0,1,7,2.2857142857142856,3.8571428571428568,1
14983155,어라운드독,0,1,2,1.5,4.0,1
14975731,살라댕방콕,0,1,8,2.25,3.5,1
14759650,살롱순라,0,0,8,1.75,4.5,1
6494540,밀탑,0,0,80,0.1375,4.2625,1
13964808,또보겠지떡볶이집,1,1,2,1.0,5.0,1
13934247,라운드오프,0,0,2,1.0,4.5,1
3922956,자매집,0,0,280,0.9142857142857144,4.296428571428572,1
2052667,할머니 칼국수,0,1,40,0.725,4.0,1
12231865,앤트러사이트 한남점,0,0,20,1.1,4.5,1
12097702,엘리,0,0,11,1.181818181818182,4.0,1
4078180,동화반점,1,0,20,0.4,3.8,1
10751162,초반식당,0,1,41,0.6585365853658537,4.951219512195122,1
9446808,마복림떡볶이,0,1,4,0.0,3.25,1
9360213,오설록티하우스,1,1,4,0.5,4.25,1
10341727,고가길구공탄,0,1,5,1.4,4.4,1
10277883,프라그로 다이너,0,1,3,3.333333333333333,4.666666666666667,1
8934372,에이투지카페,0,1,3,1.3333333333333333,4.333333333333333,1
9072640,용우동,0,1,1,2.0,2.0,1
4033225,마포나루,1,0,19,0.3684210526315789,4.0,1
8956317,반장떡볶이,1,1,6,0.5,3.8333333333333335,1
4034495,꽁시면관,0,0,19,1.0526315789473684,3.7894736842105265,1
9280385,신촌수제비,1,0,11,0.4545454545454545,3.727272727272727,1
2241571,가미 분식,0,0,10,1.6,3.9,1
4033433,동경우동,0,1,10,1.9,4.0,1
3922609,철길 왕 갈비살,0,0,20,1.8,4.4,1
4032356,오장동함흥냉면,0,0,21,1.0952380952380951,3.6666666666666665,1
9297309,부자피자,1,1,11,0.09090909090909093,4.2727272727272725,1
4078519,장수갈매기,0,0,11,0.5454545454545454,3.8181818181818175,1
1852670,왕 타이,0,0,81,0.6172839506172839,4.135802469135802,1
4032916,을밀대,0,0,60,0.6,4.266666666666667,1
9357898,오레노,0,1,20,1.15,4.05,1
3923364,평래옥,0,1,20,0.45,4.3,1
3687438,찬양집,0,0,20,1.0,3.95,1
5484695,가스트로 통,0,0,16,0.375,4.25,1
4050054,전주유할머니비빔밥,0,0,13,1.0,3.9230769230769234,1
4784018,생어거스틴 경복궁점,1,0,60,0.26666666666666666,4.083333333333333,1
3682371,브릭 오븐 뉴욕 피자,0,0,120,0.5166666666666667,4.05,1
3894907,스타벅스 타임스퀘어점 지하2층,1,0,22,0.09090909090909093,3.6818181818181817,1
4034979,안동장,0,0,17,1.2352941176470589,4.117647058823529,1
15584954,팔덕식당,0,1,4,1.25,4.5,1
12841726,도치피자,0,1,8,2.875,3.75,1
4074239,페어링룸,0,0,60,0.38333333333333336,4.283333333333333,1
4034586,영동설렁탕,1,1,15,0.5333333333333333,4.2,1
4031884,조선옥,0,1,10,1.4,3.9,1
4034730,진고개,0,1,21,0.4761904761904762,3.952380952380953,1
4080386,우래옥 강남점,1,1,40,0.5,4.475,1
7106243,창수린,0,0,20,0.3,4.15,1
12991696,꾸까 광화문점,0,1,5,2.6,4.4,1
9104642,단스시,0,1,3,0.0,3.333333333333333,1
8970186,이디야커피,1,1,3,0.0,4.0,1
4034229,원조 장충동 할머니집,0,1,22,0.4090909090909091,3.636363636363636,1
1194021,마포 진짜 원조 최대포,0,0,100,0.69,4.09,1
4075416,소담채,0,1,5,1.2,4.4,1
9245876,스타벅스 망원역점,1,1,20,0.0,3.85,1
9318368,파리바게뜨,1,1,4,0.0,4.0,1
9330915,폴바셋,1,1,6,0.16666666666666666,4.5,1
4029474,취향,0,1,10,0.0,4.3,1
4033365,곰국시집,0,1,20,0.15,4.2,1
9420015,산동칼국수,0,1,6,0.0,3.8333333333333335,1
2228878,오리마당,0,1,2,0.0,3.5,1
4085152,한우리,0,0,14,1.0714285714285714,4.571428571428571,1
4034990,돈부리,1,1,2,0.0,4.5,1
4034607,베나레스,1,0,16,0.0625,3.9375,1
4030880,오가와,0,1,22,2.363636363636364,4.681818181818182,1
2219129,하동관,0,0,219,0.5296803652968036,3.7031963470319633,1
4029267,보드람치킨 오목교점,0,1,5,0.4,4.4,1
8685965,스타벅스 삼성교점,1,1,11,0.5454545454545454,4.181818181818182,1
4031921,원조남산왕돈까스,1,1,7,0.2857142857142857,3.7142857142857135,1
9405683,멍텅구리꼼장어막창,0,1,3,0.3333333333333333,4.333333333333333,1
6538765,루블랑,0,1,40,0.5,4.225,1
8975159,이문설렁탕,0,0,100,0.81,3.73,1
8946869,아티제,0,1,3,0.0,4.0,1
4076042,미소야 방배점,0,1,2,0.0,4.0,1
4030768,남산돈까스,1,1,6,0.16666666666666666,4.333333333333333,1
9245181,스타벅스 예술의전당점,1,1,23,0.17391304347826084,4.086956521739131,1
9228310,투썸플레이스,1,1,5,0.0,4.6,1
5122590,도치 피자 장충점,1,0,21,0.14285714285714285,4.428571428571429,1
4070975,옥토버훼스트,0,1,13,0.38461538461538464,4.230769230769232,1
9245649,스타벅스 서울역동자동점,1,0,7,0.0,4.142857142857143,1
15853189,와디,0,0,2,3.0,3.5,1
3457008,자코비 버거,1,0,40,0.25,3.55,1
4030005,학림다방,0,0,21,0.4761904761904762,4.142857142857143,1
9245221,스타벅스 건대입구점,1,1,4,0.0,3.5,1
4033581,성민양꼬치,0,0,13,0.15384615384615385,4.6923076923076925,1
7748548,웨스턴차이나,0,1,7,0.42857142857142855,3.2857142857142856,1
4078383,한강집,0,1,4,0.0,4.25,1
9223386,뚜레쥬르,1,1,4,0.25,4.0,1
8982468,자그마치,0,1,13,1.6923076923076923,3.692307692307693,1
7747967,5마일,0,1,7,0.7142857142857143,3.8571428571428568,1
4033967,동아냉면,0,0,19,0.631578947368421,3.5789473684210527,1
6818439,미즈컨테이너,1,1,82,0.2195121951219512,4.121951219512195,1
2330577,브라이 리퍼블릭,0,0,360,0.37777777777777777,4.505555555555556,1
4747365,써즈데이 파티 드래프트 하우스,1,0,40,0.125,3.925,1
1011796922,호텔더디자이너스동대문,0,1,1,0.0,5.0,1
20509127,호텔스타,0,1,1,0.0,4.0,1
1150710065,스타벅스 보라매공원R점,1,1,158,0.16455696202531644,4.590717299578048,0
1219615644,해인어시장 신림본점,0,1,33,0.15151515151515152,4.525000000000002,0
13015318,보라매양평해장국,0,1,28,0.03571428571428571,4.445652173913046,0
31401167,배영만당진아구동태찜탕 보라매본점,0,1,24,0.0,4.111111111111113,0
11784878,파리바게뜨 당곡사거리점,1,1,26,0.038461538461538464,4.625,0
18737275,마포갈비,0,1,22,0.045454545454545456,4.69642857142857,0
38425782,원주골돌솥추어탕,0,1,13,0.38461538461538464,4.681818181818182,0
1703199231,진격의곱창 신림점,0,1,11,0.18181818181818185,4.854166666666666,0
1218049409,킷사서울,0,1,86,0.6395348837209303,4.267045454545454,0
1405726631,빽다방 보라매타운점,1,1,40,0.175,4.524590163934422,0
13150137,공리,0,1,48,0.10416666666666667,4.4140625,0
1172310688,을지맥옥,0,1,54,0.3148148148148148,4.074074074074075,0
1577092979,크렘드마롱,0,1,23,0.21739130434782608,4.923076923076921,0
1192838116,도노텀블 보라매점,0,1,27,0.25925925925925924,4.382352941176468,0
1752895080,죽향 롯데백화점 관악점,0,1,35,0.057142857142857134,4.546511627906974,0
35688756,에이치에비뉴 역삼점,1,1,1,0.0,5.0,1
32821879,명동칼국수,0,1,26,0.1153846153846154,4.285714285714288,0
1792163901,플레김밥&카페,0,1,1,0.0,5.0,0
1701525708,커피앤티,0,1,1,0.0,5.0,0
18055293,파라다이스비치호텔,0,1,2,0.0,4.0,1
1161580283,커피온리 동대문점,0,1,30,0.03333333333333333,4.6356589147286815,0
37942001,월화고기 보라매점,0,1,89,0.25842696629213485,4.590476190476185,0
36849566,토시리 현대백화점목동점 B2,0,1,21,0.09523809523809523,4.452380952380951,0
36508138,파르나스호텔(주),0,1,1,0.0,3.6666666666666665,1
898605399,캬베츠닷뿌리 현대백화점목동점,0,1,32,0.0,4.144736842105261,0
37878889,밥맛나는세상 신림점,0,1,17,0.0,4.0227272727272725,0
1047335571,1인1잔,0,1,22,0.8636363636363636,4.227272727272728,0
37057223,마티스커피,0,1,26,0.1153846153846154,4.535714285714288,0
1647335181,토니버거 앤 명인만두,0,1,29,0.0,3.984848484848485,0
36830603,대원갈비,0,1,17,0.05882352941176471,4.299999999999999,0
