locationId,0,1,2,3,4,5,6,7
1287253850,-0.044013947,-0.044013947,-0.04348267,-0.043823145,-0.043823145,-0.043823145,-0.043685477,-0.042174663
1135614482,-0.010872579,-0.010872579,-0.010872579,-0.007730853,-0.007730853,-0.007730853,-0.007730853,-0.007730853
18552459,0.021165647,0.021165647,0.021165647,-0.03483371,-0.03483371,-0.03483371,-0.03483371,-0.03483371
1500428988,-0.026898213,-0.026898213,-0.028970238,-0.026880678,-0.026880678,-0.030319123,-0.030319123,-0.02817855
12309433,-0.011606988,-0.013392446,-0.01265845,-0.008738633,-0.00018478303,-0.0007200427,-0.0054920856,-0.0100826
1475741466,-0.033831723,-0.036335155,-0.035788544,-0.029830938,-0.030904112,-0.030904112,-0.030743485,-0.032674816
33880173,-0.01787102,-0.01787102,-0.0113512045,-0.0113512045,-0.0030464912,-0.016269706,-0.016269706,-0.016269706
1922838423,-0.00934484,-0.00934484,-0.00934484,-0.00934484,-0.00934484,-0.0028943056,-0.0028943056,-0.0028943056
1433721445,-0.029470474,-0.029191224,-0.029120319,-0.02956561,-0.02938815,-0.02955885,-0.029155936,-0.02967575
1517144962,-0.023471495,-0.025892563,-0.025892563,-0.025892563,-0.025493057,-0.02684644,-0.02095932,-0.02095932
1569821908,-0.019064497,-0.014355326,-0.019056043,-0.019056043,-0.021040177,-0.021692507,-0.022374026,-0.019196639
38218856,-0.013647126,-0.022141734,-0.024402635,-0.024402635,-0.015568829,-0.015568829,-0.015568829,-0.015568829
1137153331,-0.025192957,-0.02411888,-0.024215624,-0.02419947,-0.02419947,-0.02447068,-0.0256881,-0.025089055
958174664,-0.038103897,-0.038103897,-0.038523894,-0.04111824,-0.042545807,-0.04179217,-0.039770663,-0.039770663
31044289,0.028154064,0.028154064,0.028154064,0.028154064,0.028154064,0.03156281,0.03156281,0.03156281
749127139,-0.030061876,-0.04149854,-0.04149854,-0.04149854,-0.04570583,-0.04570583,-0.04570583,-0.04570583
36508138,-0.035533257,-0.039571512,-0.043160796,-0.036394726,-0.033398144,-0.034057476,-0.035866126,-0.035613265
36172647,-0.030395173,-0.030356009,-0.030573053,-0.030440258,-0.03057366,-0.030292528,-0.030193565,-0.030261198
34364327,-0.028038954,-0.027355319,-0.027955666,-0.027976464,-0.028199611,-0.027922997,-0.028128685,-0.027614085
33880177,-0.028705772,-0.028846473,-0.028425114,-0.02819736,-0.028996447,-0.028914563,-0.028308617,-0.028825749
37536793,-0.021673907,-0.021673907,-0.021673907,-0.021673907,-0.011714826,-0.011714826,-0.011714826,-0.011714826
35905715,-0.047086213,-0.047086213,-0.047086213,-0.047086213,-0.043034114,-0.043034114,-0.043034114,-0.043034114
