locationId,0,1,2,3,4,5,6,7
1011796922,-1591.9489,-1764.5906,-1764.6056,-1764.6145,-1764.6266,-1764.6356,-1764.6476,-1764.6626
37903636,-1213.9816,-1205.8767,-1180.8164,-1182.153,-1181.6587,-1189.3807,-1165.647,-1153.3264
13217405,-373.30615,-369.9982,-358.2929,-374.3597,-359.3528,-358.45172,-350.41006,-354.33203
20315170,-221.3395,-221.37854,-221.4176,-221.4176,-221.4176,-221.4176,-221.45667,-221.49571
20509127,-1486.1577,-2112.2668,-1654.5876,-2112.342,-2112.3843,-2112.4353,-2112.4805,-2112.5312
32092219,-1311.6306,-1278.5592,-1237.9318,-1317.4949,-1318.0332,-1290.6483,-1338.098,-1335.9724
1195219448,-1519.4572,-1487.0205,-1566.715,-1533.571,-1475.5634,-1488.009,-1454.0634,-1526.072
1683256913,-779.769,-779.79126,-749.7149,-775.2437,-774.16125,-774.18353,-774.2069,-775.2033
11870516,-945.913,-996.2679,-995.5231,-1016.6584,-970.3948,-1085.9554,-996.3782,-988.0165
11583207,-4678.3984,-4669.289,-4667.1294,-4680.124,-4677.749,-4684.14,-4684.525,-4688.2476
18345475,-1078.6908,-1087.1436,-1014.7148,-1232.997,-1177.903,-1246.6964,-1185.1729,-1186.2524
11555954,-8423.091,-8418.6455,-8422.411,-8422.217,-8418.886,-8416.62,-8416.087,-8417.417
1848029285,-1506.0237,-1564.5922,-1564.611,-1558.0962,-1558.118,-1535.5399,-1566.3748,-1566.3951
1456087367,-1333.3093,-1323.7299,-1303.6141,-1256.6882,-1271.9922,-1264.018,-1261.2877,-1241.1472
1409372557,-1122.2072,-962.26624,-1004.01917,-1008.2631,-1014.9193,-1014.32605,-1015.14594,-1027.2476
36769110,-1571.143,-1650.1342,-1650.1481,-1646.3784,-1443.2557,-1443.2695,-1101.9061,-1374.3083
11565528,-958.2974,-955.3493,-959.15765,-938.02936,-952.71045,-973.7608,-957.0041,-974.1978
1260465296,-2379.312,-2377.6143,-2376.0256,-2397.623,-2373.3071,-2390.1484,-2340.7307,-2348.8154
13401813,-1861.0032,-1835.8124,-1815.799,-1858.4572,-1871.7852,-1887.5972,-1874.2625,-1892.2461
1872369877,-165.81972,-165.83925,-165.8783,-165.89783,-165.91736,-165.93689,-165.95642,-165.95642
38502209,-1261.1683,-1261.1976,-1261.2172,-1378.7695,-1378.7793,-1378.8086,-1378.8184,-1378.8379
1343819055,-229.29434,-227.0823,-231.68564,-234.95985,-234.58775,-239.55515,-236.19223,-235.36177
1670545829,-289.40692,-293.37823,-295.24753,-309.90625,-307.71964,-318.49396,-316.258,-318.25482
11658929,-915.11945,-918.31116,-901.27374,-915.8004,-935.4803,-909.15405,-979.6335,-988.29584
1883653915,-280.4047,-278.67935,-277.7721,-281.838,-275.70566,-277.39734,-275.98065,-274.5723
12101938,-204.84805,-194.5301,-201.75252,-196.92876,-199.94757,-193.81885,-198.87593,-199.96745
36728037,-914.7104,-877.7464,-877.75037,-877.754,-600.87164,-600.8759,-600.87494,-600.8789
11381923,-2874.5579,-2877.0835,-2875.1116,-2874.2192,-2870.523,-2871.3005,-2876.8599,-2880.9856
18055293,-1318.8131,-1253.5013,-1044.4462,-798.0265,-939.46765,-1129.103,-939.475,-1175.7057
31045178,-1412.17,-1035.8542,-1035.8772,-1622.8357,-1622.8586,-1622.8816,-1035.9534,-1035.9685
35877451,-762.6719,-762.71094,-762.75,-762.78906,-762.8281,-762.8672,-762.90625,-762.9453
35168868,-1257.7573,-1257.7899,-1257.8159,-1257.8387,-1257.8583,-1257.8843,-1257.9103,-1257.9429
37841514,-454.247,-460.7824,-459.08728,-439.29492,-442.77924,-426.91702,-436.12543,-430.91626
12453883,-2925.0332,-2925.0527,-2440.9978,-2925.0918,-2925.1113,-2925.1309,-2925.1504,-2925.17
13011761,-1175.4845,-1175.5149,-1175.5453,-861.2435,-1076.8,-1175.6277,-1175.6581,-1175.6929
36508138,-182.86545,-193.05542,-191.49747,-191.94386,-192.23166,-187.41585,-188.9858,-188.23456
1536938247,-805.03436,-1012.66895,-1012.6827,-1012.7038,-1012.72107,-1012.73126,-1012.74884,-746.11194
1433721445,-1276.6676,-1276.6816,-1276.7062,-1276.7344,-1276.759,-1276.7802,-1243.0167,-1243.0381
1394755905,-847.3911,-853.0395,-861.1783,-850.9773,-707.55225,-847.4281,-860.4518,-847.4529
33880428,-265.28976,-265.3158,-265.34183,-265.36746,-265.38657,-265.41263,-265.43216,-265.44476
38654075,-1563.0295,-1563.0425,-1563.0417,-1563.0547,-1563.0547,-1563.0547,-1563.0669,-1563.08
13451834,-15.19573,-15.19573,-15.19573,-15.19573,-15.19573,-15.19573,-15.19573,-15.19573
20127347,-225.28426,-225.28426,-225.32332,-225.32332,-225.36238,-225.36238,-225.36238,-225.36238
37770045,-1239.092,-1233.0989,-1243.1929,-1243.2144,-1219.9037,-1245.0042,-1260.1915,-1262.0914
18486508,-942.8036,-942.84265,-942.8817,-942.9208,-942.95984,-942.99884,-943.0379,-943.07697
38729013,-2050.8855,-2097.1191,-2100.5044,-2094.5908,-2075.8904,-2065.2021,-2053.1375,-2050.2932
13286706,-1040.342,-1049.1948,-1049.2075,-1049.9365,-1061.3788,-1069.01,-1064.7523,-1134.5328
